"API and filesystem objectID","TMS report objectID","API and filesystem object number","TMS report object number","Title","Creator","dept","location on DRMC","has files","number of files","has dg component","component number"
"107644","107644","1337.1999","1337.1999","Heidi","McCarthy Paul","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/McCarthy_Paul---Heidi---1337.1999---107644","Yes","1","Yes","1337.1999.DG"
"118299","118299","466.1988","466.1988","Quartet for Deafblind","Cohn Norman","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Cohn_Norman---Quartet---466_1988---118299","Yes","2","Yes","466.1988.DG"
"147844","147844","495.2011","495.2011","Jean-Marie Straub and Danièle Huillet at work on a film based on Franz Kafka's unfinished novel, ""America”","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---JeanMarieStraub---495_2011---147844","Yes","2","Yes","495.2011.DG"
"159756","159756","568.2012","568.2012","Commercials for Forming a Sculpture Drama in Manhattan","Hershman Leeson Lynn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hershman_Lynn---CommercialsforForming---568_2012---159756","Yes","2","Yes","568.2012.DG"
"147864","147864","515.2011","515.2011","Counter Music","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---CounterMusic---515_2011---147864","Yes","4","Yes","515.2011.DG"
"147869","147869","522.2011","522.2011","In Comparison","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---InComparison---522_2011---147869","Yes","2","Yes","522.2011.DG"
"147854","147854","505.2011","505.2011","Interface","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---Interface---505_2011---147854","Yes","4","Yes","505.2011.DG"
"147859","147859","510.2011","510.2011","Prison Images","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---PrisonImages---510_2011---147859","Yes","2","Yes","510.2011.DG"
"143771","143771","11.2011.4","11.2011.4","Serious Games IV: A Sun with No Shadow","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---SeriousGamesIVASunWithNoShadow---11_2011_4---143771","Yes","4","Yes","11.2011.4.DG"
"143770","143770","11.2011.3","11.2011.3","Serious Games III: Immersion","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---SeriousGamesIIIImmersion---11_2011_3---143770","Yes","4","Yes","11.2011.3.DG"
"147862","147862","512.2011","512.2011","The Creators of Shopping Worlds","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---TheCreatorsofShoppingWorlds---512_2011---147862","Yes","2","Yes","512.2011.DG"
"147853","147853","504.2011","504.2011","Workers Leaving the Factory","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---WorkersLeavingtheFactory---504_2011---147853","Yes","2","Yes","504.2011.DG"
